,frequency (Hz),tech node (nm),area (um^2),energy (pJ/op),SNDR_plot [dB],number of bits,FOMS_hf [dB]
0,200000.0,1000,2155000.0,59999.99999999999,56.541999999999994,9.098941666695485,125.75018753952375
1,500000000.0,400.0,2400000.0,800.0,34.87,5.499300383075538,122.82880017344075
2,500000000.0,600.0,5250000.0,660.0,27.5,4.275169880109545,116.29426068794149
3,1300000000.0,350.0,800000.0,419.2307692307693,35.0,5.520892915692307,125.76516854366213
4,1100000000.0,350.0,350000.0,272.72727272727275,35.772999999999996,5.649285436559702,128.40541434774582
5,1600000000.0,180.0,120000.0,257.57575757575756,31.86,4.9993502047949905,124.74065018499614
6,20000000.0,130.0,80000.0,600.0,55.0,8.84282101057967,144.20818753952375
7,22000000.0,130.0,300000.0,20.90909090909091,33.0,5.18870010620357,136.78634853476652
8,2000000000.0,180.0,500000.0,155.0,30.0,4.6904108919704655,125.08638306165727
9,100000.0,180.0,630000.0,250.00000000000003,65.0,10.50378505802335,158.0102999566398
10,1250000000.0,90.0,33000.0,2.016,23.8,3.6606131825553834,137.7447947656253
11,4000000000.0,180.0,880000.0,22.249999999999996,22.0,3.3616396540155207,125.51639989019068
12,600000000.0,130.0,120000.0,8.833333333333334,33.0,5.18870010620357,140.52845385118871
13,20000000.0,90.0,80000.0,14.5,46.308,7.399111060541621,151.68402002101044
14,40000000.0,130.0,550000.0,13200.0,83.0,13.493520343421977,158.7839607313017
15,40000000.0,90.0,90200.0,20.5,53.3,8.560457122514244,157.17216143280262
16,250000000.0,65.0,3000000,4.8,28.4,4.424656644379477,138.57728766960432
17,1000000.0,65.0,27500.0,1.9,54.4,8.743163167733048,168.6021640338319
18,100000.0,180.0,240000.0,36.0,58.0,9.341110224812773,159.4266750356873
19,1250000000.0,130.0,90000.0,25.6,32.0,5.022603701459202,134.9073003902417
20,24000000000.0,90.0,16000000,49.99999999999999,22.830000000000002,3.4994996699533467,122.83
21,400000.0,180.0,2000000,4.1499999999999995,32.0,5.022603701459202,142.80921907623926
22,2500000000.0,45.0,1000000,22.727272727272727,34.0,5.3547965109479385,137.42422680822207
23,600000000.0,130.0,1100000.0,49.99999999999999,43.0,6.849664153647251,143.0
24,12500000.0,250.0,4500000.0,8400.0,80.0,12.995231129188872,157.74690718274138
25,45000000.0,130.0,59000.0,67.11111111111111,67.09,10.85092654393908,165.81175575154214
26,40000000.0,65.0,58500.0,30.25,52.5,8.427579998718748,154.6824462534753
27,50000000.0,65.0,39000.0,16.4,56.6,9.108575258170658,161.4412615628832
28,100000000.0,65.0,25600.0,11.299999999999999,56.0,9.008917415324037,162.45891560852598
29,10240000.0,90.0,70000.0,6.73828125,48.4,7.746584739266839,157.10420870238576
30,40000000000.0,65.0,16000000,37.5,25.238,3.8994598125777844,126.487387366083
31,2600000000.0,65.0,5100000.0,184.6153846153846,48.5,7.763194379741276,142.8270211493125
32,400000000.0,65.0,24000.0,10.000000000000002,40.4,6.417813501311894,147.3897000433602
33,20000.0,65.0,212000.0,10.299999999999999,55.0,8.84282101057967,161.86132779630844
34,88000000.0,65.0,46200.00000000001,36.63636363636363,61.959999999999994,9.998851987600471,163.31057643353134
35,80000000.0,40.0,79625.0,74.9375,54.2,8.709943886784176,152.44270803893096
36,4000000.0,90.0,47000.0,4.36,58.348,9.398911773663814,168.94283515067434
37,40000.0,65.0,76000.0,2.425,62.56199999999999,10.09884202325658,175.70458261397735
38,50000000.0,90.0,97000.0,84.0,69.1,11.184780317475258,166.84690718274135
39,500000.0,90.0,42000.0,1.0,54.3,8.726553527258611,171.2897000433602
40,10000000000.0,40.0,270000.0,23.999999999999996,32.461999999999996,5.0993402404511,135.6495876262441
41,3600000000.0,65.0,7400000.0,220.83333333333334,50.0,8.012338986857829,143.54905376446834
42,1200000000.0,32.0,1500.0,2.55,39.3,6.235107456093089,152.22429823902064
43,900000000.0,45.0,38000.0,12.0,51.2,8.21165467255107,157.39788758288393
44,80000000.0,65.0,550000.0,388.75,71.3,11.550192407912869,162.39299602301122
45,32000.0,65.0,180000.0,11.0,69.7,11.284438160321882,176.27577319177794
46,200000.0,40.0,65000.0,0.42,55.63,8.94746174556862,176.3872071393812
47,4000.0,180.0,120000.0,7.750000000000001,59.251,9.548896827147978,167.3476830182971
48,80000000.0,28.0,136900.0,18.75,66.0,10.66988146276772,170.2596873227228
49,90000000000.0,32.0,450000.0,7.411111111111111,33.0,5.18870010620357,141.29086679858796
50,20000000000.0,32.0,250000.0,3.4750000000000005,30.7,4.806678375291523,142.28015195409887
51,10000000000.0,28.0,9000.0,3.2,33.75,5.313272409761846,145.68820026016112
52,1000000000.0,65.0,780000.0,18.900000000000002,51.4,8.244873953499944,155.62508200162773
53,1620000000.0,40.0,830000.0,57.40740740740741,48.0,7.680146177369092,147.40002070324715
54,2200000000.0,40.0,52000.0,12.454545454545455,37.4,5.91952428707879,143.43642122337837
